8.674695	0.004808813	954.9344235	509.5241042	-2509.518	-2026.594	2487.632	-116.5345	15.19496	-56.46028
8.702113	0.004804051	969.4199166	524.0598521	-2705.987	-645.7081	2491.983	-121.139	2.876979	-71.82146
8.682605	0.004814231	916.4294069	535.9270958	-2830.446	2702.499	2459.671	-116.42923	5.38642	-127.2222
8.631472	0.004816627	980.3884212	527.1716396	-1775.831	3602.002	2398.45	-115.75551	-8.746159	-147.0377
8.630109	0.004808656	921.1465033	510.593875	-530.4825	4055.259	2381.016	-115.11159	7.608726	-171.7358
8.653324	0.00479807	950.1612544	511.8614583	874.9671	4123.319	2407.63	-114.09412	-5.841615	173.9294
8.601177	0.004808033	944.2094179	529.2010271	3043.339	-3124.426	2440.505	-111.72712	9.182914	33.89395
8.749961	0.004808519	945.7170472	504.2198333	1758.351	-3660.351	2495.476	-110.66617	-2.148051	21.25222
8.756605	0.004807947	920.5975898	518.67775	2284.421	4598.622	2316.872	-106.64484	5.768115	148.289
8.741989	0.004806915	964.3062879	500.9601667	3594.863	-2028.491	2496.782	-111.03254	-4.992925	54.0963
8.650616	0.004808915	917.41424	523.5619438	-3602.474	260.3192	2500.269	-114.06361	10.48834	-89.68244
8.626688	0.004809455	972.777454	505.8956875	-3089.873	1556.962	2472.949	-117.99063	-2.395421	-109.5492
8.675905	0.004810353	922.1285174	534.4901042	-262.5107	-3460.267	2511.787	-113.92505	1.244391	-6.458299
8.796611	0.004804699	940.6020856	529.1891625	-1673.487	-3399.866	2508.332	-113.56402	-10.08283	-17.03116
8.717545	0.004790723	961.84533	504.1816042	3319.932	3658.928	2339.318	-109.31386	-2.599992	135.262
8.691209	0.004806731	961.8626884	514.9551667	4254.119	-794.7368	2468.216	-113.91907	4.658377	65.12828
